Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
L-lactate dehydrogenase B chain  ,sp|P16125|LDHB_MOUSE,P16125,Ldhb,-0.47,0.151,-0.3,0.455,-0.8,0.035,-0.57,0.37,16832
"Lon protease homolog 2, peroxisomal  ",sp|Q9DBN5|LONP2_MOUSE,Q9DBN5,Lonp2,-0.23,0.398,0.07,0.603,0.03,0.991,-0.19,0.825,66887
"Lon protease homolog, mitochondrial  ",sp|Q8CGK3|LONM_MOUSE,Q8CGK3,Lonp1,0.04,0.894,-0.14,0.986,0,0.856,0.07,0.841,74142
"Long-chain specific acyl-CoA dehydrogenase, mitochondrial  ",sp|P51174|ACADL_MOUSE,P51174,Acadl,-0.34,0.517,-0.47,0.163,0.14,0.593,0.48,0.987,11363
Long-chain-fatty-acid--CoA ligase 1  ,sp|P41216|ACSL1_MOUSE,P41216,Acsl1,0.09,0.643,0.03,0.647,0.11,0.065,-0.12,0.109,14081
Long-chain-fatty-acid--CoA ligase 3  ,sp|Q9CZW4|ACSL3_MOUSE,Q9CZW4,Acsl3,-0.19,0.257,-0.36,0.181,0.31,0.87,-0.19,0.256,74205
Low density lipoprotein receptor adapter protein 1  ,sp|Q8C142|ARH_MOUSE,Q8C142,Ldlrap1,-0.19,0.601,0.06,0.912,0.42,0.938,0.78,0.541,100017
Luc7-like protein 3  ,sp|Q5SUF2|LC7L3_MOUSE,Q5SUF2,Luc7l3,0.03,0.869,0.28,0.316,-0.46,0.728,-1.39,0.476,67684
Lupus La protein homolog  ,sp|P32067|LA_MOUSE,P32067,Ssb,-0.03,0.906,0.04,0.756,-0.29,0.903,-0.81,0.124,20823
L-xylulose reductase  ,sp|Q91X52|DCXR_MOUSE,Q91X52,Dcxr,0.03,0.909,-0.28,0.77,0.09,0.92,0.42,0.609,67880
Lymphocyte antigen 6D  ,sp|P35459|LY6D_MOUSE,P35459,Ly6d,-0.29,0.166,-0.44,0.066,-0.74,0.019,-1.17,0.009,17068
Lymphocyte antigen 6E  ,sp|Q64253|LY6E_MOUSE,Q64253,Ly6e,0.37,0.327,0.12,0.505,-0.25,0.909,-0.96,0.098,17069
Lymphokine-activated killer T-cell-originated protein kinase  ,sp|Q9JJ78|TOPK_MOUSE,Q9JJ78,Pbk,-0.29,0.189,-0.02,0.904,-0.02,0.321,-0.1,0.048,52033
Lys-63-specific deubiquitinase BRCC36  ,sp|P46737|BRCC3_MOUSE,P46737,Brcc3,-0.49,0.247,-0.04,0.77,-0.75,0.383,-0.24,0.112,210766
Lysine-specific demethylase 2A  ,sp|P59997|KDM2A_MOUSE,P59997,Kdm2a,0.2,0.563,0.69,0.02,0.27,0.099,-0.09,0.469,225876
Lysine-specific demethylase 3B  ,sp|Q6ZPY7|KDM3B_MOUSE,Q6ZPY7,Kdm3b,0.68,0.151,0.43,0.283,0.43,0.2,0.2,0.448,277250
Lysine-specific demethylase 4B  ,sp|Q91VY5|KDM4B_MOUSE,Q91VY5,Kdm4b,0.26,0.393,0.66,0.772,0.13,0.827,0.13,0.699,193796
Lysine-specific demethylase 6A  ,sp|O70546|KDM6A_MOUSE,O70546,Kdm6a,0.31,0.281,0.37,0.176,0.11,0.561,0.54,0.742,22289
Lysine-specific histone demethylase 1A  ,sp|Q6ZQ88|KDM1A_MOUSE,Q6ZQ88,Kdm1a,0.09,0.598,-0.15,0.674,-0.62,0.485,-1.2,0.171,99982
Lysine--tRNA ligase  ,sp|Q99MN1|SYK_MOUSE,Q99MN1,Kars,0.03,0.922,-0.25,0.346,-0.14,0.502,-0.36,0.186,85305
Lysophosphatidic acid phosphatase type 6  ,sp|Q8BP40|PPA6_MOUSE,Q8BP40,Acp6,-0.25,0.369,-0.08,0.835,-0.18,0.244,-0.02,0.213,66659
Lysophospholipase-like protein 1  ,sp|Q3UFF7|LYPL1_MOUSE,Q3UFF7,Lyplal1,0.45,0.196,0.11,0.665,-0.16,0.834,0.21,0.231,226791
Lysosomal acid lipase/cholesteryl ester hydrolase  ,sp|Q9Z0M5|LICH_MOUSE,Q9Z0M5,Lipa,-0.12,0.541,-0.07,0.792,-0.35,0.185,-0.39,0.3,16889
Lysosomal acid phosphatase  ,sp|P24638|PPAL_MOUSE,P24638,Acp2,0.06,0.769,0.04,0.761,0,0.847,0.18,0.7,11432
Lysosomal alpha-glucosidase  ,sp|P70699|LYAG_MOUSE,P70699,Gaa,0.05,0.794,0.09,0.88,-0.09,0.86,-0.17,0.845,14387
Lysosomal alpha-mannosidase  ,sp|O09159|MA2B1_MOUSE,O09159,Man2b1,0.05,0.784,0.04,0.803,-0.19,0.896,-0.57,0.243,17159
Lysosomal protective protein  ,sp|P16675|PPGB_MOUSE,P16675,Ctsa,0.04,0.858,-0.18,0.686,-0.18,0.268,-0.16,0.22,19025
Lysosomal Pro-X carboxypeptidase  ,sp|Q7TMR0|PCP_MOUSE,Q7TMR0,Prcp,-0.3,0.116,0.07,0.844,-0.55,0.621,-0.93,0.15,72461
Lysosomal thioesterase PPT2  ,sp|O35448|PPT2_MOUSE,O35448,Ppt2,-0.37,0.227,-0.19,0.379,0.24,0.437,-0.24,0.164,54397
Lysosome membrane protein 2  ,sp|O35114|SCRB2_MOUSE,O35114,Scarb2,-0.26,0.386,0.06,0.44,-0.11,0.835,-0.71,0.709,12492
Lysosome-associated membrane glycoprotein 1  ,sp|P11438|LAMP1_MOUSE,P11438,Lamp1,-0.14,0.417,0.06,0.63,0.15,0.84,-0.02,0.79,16783
m7GpppX diphosphatase  ,sp|Q9DAR7|DCPS_MOUSE,Q9DAR7,Dcps,-0.33,0.089,-0.01,0.512,-0.53,0.189,-0.37,0.708,69305
Macrophage erythroblast attacher  ,sp|Q4VC33|MAEA_MOUSE,Q4VC33,Maea,-0.21,0.412,-0.07,0.434,-0.26,0.457,-0.25,0.917,59003
Macrophage migration inhibitory factor  ,sp|P34884|MIF_MOUSE,P34884,Mif,-0.22,0.293,-0.02,0.907,-0.68,0.314,-1.07,0.09,17319
MAD2L1-binding protein  ,sp|Q9DCX1|MD2BP_MOUSE,Q9DCX1,Mad2l1bp,-0.1,0.577,-0.22,0.141,-0.03,0.338,0.23,0.811,66591
Maesium-dependent phosphatase 1  ,sp|Q9D967|MGDP1_MOUSE,Q9D967,Mdp1,0.17,0.406,0.06,0.347,-0.38,0.114,-0.24,0.243,67881
Major vault protein  ,sp|Q9EQK5|MVP_MOUSE,Q9EQK5,Mvp,-0.27,0.13,-0.27,0.185,-0.39,0.347,-0.47,0.87,78388
"Malate dehydrogenase, cytoplasmic  ",sp|P14152|MDHC_MOUSE,P14152,Mdh1,-0.25,0.321,-0.28,0.26,-0.29,0.701,-0.24,0.536,17449
"Malate dehydrogenase, mitochondrial  ",sp|P08249|MDHM_MOUSE,P08249,Mdh2,-0.79,0.351,-0.8,0.094,0.02,0.988,0.11,0.704,17448
Malectin  ,sp|Q6ZQI3|MLEC_MOUSE,Q6ZQI3,Mlec,-0.04,0.831,0.03,0.388,-0.2,0.866,-0.59,0.425,109154
Male-enhanced antigen 1  ,sp|Q64327|MEA1_MOUSE,Q64327,Mea1,0.07,0.873,0.57,0.09,-0.21,0.058,0.24,0.428,17256
Maleylacetoacetate isomerase  ,sp|Q9WVL0|MAAI_MOUSE,Q9WVL0,Gstz1,0,0.991,0.28,0.678,0.17,0.584,0.31,0.352,14874
Maliant T-cell-amplified sequence 1  ,sp|Q9DB27|MCTS1_MOUSE,Q9DB27,Mcts1,0.21,0.401,-0.06,0.548,-0.17,0.192,-0.16,0.173,68995
Mammalian ependymin-related protein 1  ,sp|Q99M71|EPDR1_MOUSE,Q99M71,Epdr1,-0.06,0.762,-0.66,0.039,-0.15,0.981,-0.22,0.67,105298
Mannose-1-phosphate guanyltransferase alpha  ,sp|Q922H4|GMPPA_MOUSE,Q922H4,Gmppa,0.17,0.366,0.46,0.039,-0.24,0.271,-0.12,0.788,69080
Mannose-1-phosphate guanyltransferase beta  ,sp|Q8BTZ7|GMPPB_MOUSE,Q8BTZ7,Gmppb,0.15,0.472,0.09,0.474,-0.03,0.991,-0.2,0.346,331026
Mannose-6-phosphate isomerase  ,sp|Q924M7|MPI_MOUSE,Q924M7,Mpi,0.01,0.953,0.1,0.415,0.11,0.394,0.05,0.45,110119
"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA  ",sp|P45700|MA1A1_MOUSE,P45700,Man1a1,-0.04,0.862,-0.17,0.593,-0.12,0.586,0.04,0.307,17155
Mannosyl-oligosaccharide glucosidase  ,sp|Q80UM7|MOGS_MOUSE,Q80UM7,Mogs,0.04,0.904,0.21,0.804,-0.23,0.547,-0.78,0.568,57377
MAP kinase-activated protein kinase 3  ,sp|Q3UMW7|MAPK3_MOUSE,Q3UMW7,Mapkapk3,0.69,0.154,-0.1,0.97,0.69,0.079,0.52,0.024,102626
MARCKS-related protein  ,sp|P28667|MRP_MOUSE,P28667,Marcksl1,-0.17,0.532,-0.33,0.102,0.18,0.853,0.21,0.636,17357
Matrin-3  ,sp|Q8K310|MATR3_MOUSE,Q8K310,Matr3,0.12,0.464,0,0.64,0.11,0.694,0.28,0.651,17184
Matrix Gla protein  ,sp|P19788|MGP_MOUSE,P19788,Mgp,-0.1,0.504,-0.02,0.888,-0.04,0.171,0.09,0.175,17313
Mediator of RNA polymerase II transcription subunit 14  ,sp|A2ABV5|MED14_MOUSE,A2ABV5,Med14,-0.03,0.848,0.17,0.941,-0.11,0.27,-0.16,0.277,26896
Mediator of RNA polymerase II transcription subunit 16  ,sp|Q6PGF3|MED16_MOUSE,Q6PGF3,Med16,0.52,0.108,0.47,0.136,0.55,0.777,1.19,0.809,216154
Mediator of RNA polymerase II transcription subunit 17  ,sp|Q8VCD5|MED17_MOUSE,Q8VCD5,Med17,0.16,0.603,0.4,0.179,-0.18,0.193,-0.53,0.231,234959
Mediator of RNA polymerase II transcription subunit 18  ,sp|Q9CZ82|MED18_MOUSE,Q9CZ82,Med18,0.08,0.704,-0.27,0.25,-0.05,0.432,0.56,0.654,67219
Mediator of RNA polymerase II transcription subunit 19  ,sp|Q8C1S0|MED19_MOUSE,Q8C1S0,Med19,-0.45,0.168,0.14,0.688,-0.52,0.522,-0.22,0.32,381379
Mediator of RNA polymerase II transcription subunit 23  ,sp|Q80YQ2|MED23_MOUSE,Q80YQ2,Med23,0.37,0.155,0.06,0.851,0.06,0.147,-1.05,0.501,70208
Mediator of RNA polymerase II transcription subunit 24  ,sp|Q99K74|MED24_MOUSE,Q99K74,Med24,0.22,0.255,0.15,0.806,0.05,0.96,0.37,0.129,23989
Mediator of RNA polymerase II transcription subunit 30  ,sp|Q9CQI9|MED30_MOUSE,Q9CQI9,Med30,0.16,0.382,0.17,0.726,0.38,0.134,-0.02,0.964,69790
Mediator of RNA polymerase II transcription subunit 4  ,sp|Q9CQA5|MED4_MOUSE,Q9CQA5,Med4,-0.01,0.969,0.07,0.518,0.2,0.132,-0.2,0.924,67381
"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial  ",sp|P45952|ACADM_MOUSE,P45952,Acadm,-0.4,0.595,-0.25,0.903,0.22,0.633,0.11,0.76,11364
Meiotic nuclear division protein 1 homolog  ,sp|Q8K396|MND1_MOUSE,Q8K396,Mnd1,-0.42,0.269,-0.66,0.392,-1.17,0.009,-0.5,0.424,76915
Melanoma-associated antigen D1  ,sp|Q9QYH6|MAGD1_MOUSE,Q9QYH6,Maged1,0.99,0.071,0.98,0.131,0.91,0.107,0.6,0.311,94275
Melanoma-derived growth regulatory protein  ,sp|Q61865|MIA_MOUSE,Q61865,Mia,-0.19,0.443,-0.06,0.757,-0.19,0.085,0.06,0.812,12587
Melanotransferrin  ,sp|Q9R0R1|TRFM_MOUSE,Q9R0R1,Mfi2,0.09,0.777,-0.16,0.725,0.01,0.829,0.04,0.685,30060
Membrane protein FAM174B  ,sp|Q8K064|F174B_MOUSE,Q8K064,Fam174b,-0.36,0.068,-0.63,0.119,-0.09,0.523,0.19,0.918,100038347
Membrane-associated progesterone receptor component 1  ,sp|O55022|PGRC1_MOUSE,O55022,Pgrmc1,0.06,0.734,0.05,0.887,0.11,0.839,0.26,0.558,53328
Membrane-associated progesterone receptor component 2  ,sp|Q80UU9|PGRC2_MOUSE,Q80UU9,Pgrmc2,-0.2,0.327,-0.08,0.644,0.01,0.326,0.37,0.983,70804
Metallo-beta-lactamase domain-containing protein 1  ,sp|Q8BWY4|MBLC1_MOUSE,Q8BWY4,Mblac1,-0.18,0.564,0.06,0.71,0.1,0.864,0.1,0.324,330216
Metalloreductase STEAP3  ,sp|Q8CI59|STEA3_MOUSE,Q8CI59,Steap3,0.08,0.753,-0.11,0.612,-0.8,0.074,-1.16,0.314,68428
Metalloreductase STEAP4  ,sp|Q923B6|STEA4_MOUSE,Q923B6,Steap4,-0.08,0.722,-0.39,0.243,0.01,0.434,0.25,0.33,117167
Metallothionein-1  ,sp|P02802|MT1_MOUSE,P02802,Mt1,-0.58,0.03,0.01,0.882,0.28,0.804,0.92,0.974,17748
Metallothionein-2  ,sp|P02798|MT2_MOUSE,P02798,Mt2,-0.86,0.027,-0.07,0.229,-0.33,0.438,1.13,0.344,17750
Metastasis-associated protein MTA1  ,sp|Q8K4B0|MTA1_MOUSE,Q8K4B0,Mta1,0.15,0.642,0.13,0.818,0.15,0.803,0.37,0.97,116870
Metastasis-associated protein MTA2  ,sp|Q9R190|MTA2_MOUSE,Q9R190,Mta2,0.25,0.434,0.51,0.058,-0.44,0.667,-0.98,0.105,23942
Metaxin-2  ,sp|O88441|MTX2_MOUSE,O88441,Mtx2,0.43,0.368,0.53,0.116,-0.22,0.97,-0.12,0.758,53375
Methionine aminopeptidase 1  ,sp|Q8BP48|AMPM1_MOUSE,Q8BP48,Metap1,-0.27,0.156,-0.21,0.243,-0.03,0.56,0.37,0.812,75624
Methionine aminopeptidase 2  ,sp|O08663|AMPM2_MOUSE,O08663,Metap2,0.24,0.39,0.46,0.296,-0.01,0.754,-0.2,0.661,56307
"Methionine-R-sulfoxide reductase B3, mitochondrial  ",sp|Q8BU85|MSRB3_MOUSE,Q8BU85,Msrb3,0.27,0.195,0.15,0.809,0.35,0.29,0.27,0.554,320183
"Methionine--tRNA ligase, cytoplasmic  ",sp|Q68FL6|SYMC_MOUSE,Q68FL6,Mars,-0.15,0.439,0.07,0.921,-0.36,0.534,-0.57,0.808,216443
"Methionine--tRNA ligase, mitochondrial  ",sp|Q499X9|SYMM_MOUSE,Q499X9,Mars2,-0.62,0.054,-0.35,0.139,-0.24,0.305,-0.78,0.418,212679
Methyl-CpG-binding domain protein 2  ,sp|Q9Z2E1|MBD2_MOUSE,Q9Z2E1,Mbd2,0.25,0.217,0.22,0.504,0.26,0.316,0.35,0.062,17191
Methyl-CpG-binding domain protein 3  ,sp|Q9Z2D8|MBD3_MOUSE,Q9Z2D8,Mbd3,0.05,0.8,0.18,0.399,-0.25,0.293,-0.78,0.753,17192
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial  ",sp|Q3ULD5|MCCB_MOUSE,Q3ULD5,Mccc2,0.26,0.572,0.03,0.134,0.33,0.831,0.25,0.691,78038
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial  ",sp|Q99MR8|MCCA_MOUSE,Q99MR8,Mccc1,0.03,0.854,-0.03,0.463,0.14,0.729,0.27,0.414,72039
"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  ",sp|Q9EQ20|MMSA_MOUSE,Q9EQ20,Aldh6a1,0.15,0.667,-0.02,0.349,0.3,0.67,0.6,0.458,104776
"Methylmalonyl-CoA epimerase, mitochondrial  ",sp|Q9D1I5|MCEE_MOUSE,Q9D1I5,Mcee,-0.08,0.747,-0.61,0.088,-0.3,0.266,-0.12,0.906,73724
"Methylmalonyl-CoA mutase, mitochondrial  ",sp|P16332|MUTA_MOUSE,P16332,Mut,-0.34,0.348,-0.17,0.648,0.19,0.95,0.17,0.766,17850
Methylosome protein 50  ,sp|Q99J09|MEP50_MOUSE,Q99J09,Wdr77,-0.35,0.24,-0.27,0.765,-0.49,0.201,-0.07,0.004,70465
Methylthioribose-1-phosphate isomerase  ,sp|Q9CQT1|MTNA_MOUSE,Q9CQT1,Mri1,-0.09,0.584,-0.03,0.84,-0.01,0.601,0.16,0.424,67873
Methyltransferase-like protein 13  ,sp|Q91YR5|MET13_MOUSE,Q91YR5,Mettl13,0.04,0.847,0.45,0.385,-0.02,0.739,-0.31,0.986,71449
Methyltransferase-like protein 16  ,sp|Q9CQG2|MET16_MOUSE,Q9CQG2,Mettl16,0.26,0.355,0.11,0.748,0.18,0.256,-0.15,0.991,67493
Methyltransferase-like protein 9  ,sp|Q9EPL4|METL9_MOUSE,Q9EPL4,Mettl9,-0.06,0.771,0.02,0.636,-0.68,0.277,-1.06,0.671,59052
Mevalonate kinase  ,sp|Q9R008|KIME_MOUSE,Q9R008,Mvk,-0.49,0.058,-0.05,0.72,-0.25,0.716,-0.49,0.704,17855
MHC class II regulatory factor RFX1  ,sp|P48377|RFX1_MOUSE,P48377,Rfx1,-0.28,0.212,0.22,0.209,-0.16,0.247,0.27,0.734,19724
MICAL-like protein 1  ,sp|Q8BGT6|MILK1_MOUSE,Q8BGT6,Micall1,-0.02,0.919,-0.28,0.115,-0.02,0.413,-0.28,0.94,27008
Microsomal glutathione S-transferase 1  ,sp|Q91VS7|MGST1_MOUSE,Q91VS7,Mgst1,-0.44,0.204,0.12,0.604,-1.64,0.145,-2.34,0.048,56615
Microtubule-associated protein 1B  ,sp|P14873|MAP1B_MOUSE,P14873,Map1b,-0.27,0.423,0.02,0.519,-0.92,0.144,-0.98,0.069,17755
Microtubule-associated protein 1S  ,sp|Q8C052|MAP1S_MOUSE,Q8C052,Map1s,0.28,0.285,0.15,0.563,0.22,0.888,0.82,0.519,270058
Microtubule-associated protein 2  ,sp|P20357|MAP2_MOUSE,P20357,Map2,-0.11,0.462,-0.17,0.172,-0.1,0.091,0.11,0.184,17756
Microtubule-associated protein 4  ,sp|P27546|MAP4_MOUSE,P27546,Map4,0.15,0.681,-0.21,0.904,-0.16,0.8,-0.43,0.112,17758
Microtubule-associated protein RP/EB family member 1  ,sp|Q61166|MARE1_MOUSE,Q61166,Mapre1,0.08,0.829,0.19,0.494,-0.17,0.98,-0.46,0.421,13589
Microtubule-associated protein RP/EB family member 3  ,sp|Q6PER3|MARE3_MOUSE,Q6PER3,Mapre3,-0.26,0.221,0.03,0.325,-0.22,0.699,-0.28,0.836,100732
Migration and invasion enhancer 1  ,sp|Q9CQ86|MIEN1_MOUSE,Q9CQ86,Mien1,0.26,0.325,0.15,0.518,0.09,0.847,0.17,0.455,103742
"Mimitin, mitochondrial  ",sp|Q59J78|MIMIT_MOUSE,Q59J78,Ndufaf2,-0.58,0.35,0.29,0.035,0.72,0.145,0.98,0.653,75597
Mini-chromosome maintenance complex-binding protein  ,sp|Q8R3C0|MCMBP_MOUSE,Q8R3C0,Mcmbp,0.63,0.015,0.52,0.098,0.2,0.257,0.2,0.097,210711
Minor histocompatibility antigen H13  ,sp|Q9D8V0|HM13_MOUSE,Q9D8V0,Hm13,0.07,0.704,0.07,0.841,0.14,0.776,0.13,0.913,14950
MIP18 family protein FAM96A  ,sp|Q9DCL2|FA96A_MOUSE,Q9DCL2,Fam96a,0.35,0.103,0.34,0.06,0.09,0.902,0.3,0.144,68250
Mitochondrial 10-formyltetrahydrofolate dehydrogenase  ,sp|Q8K009|AL1L2_MOUSE,Q8K009,Aldh1l2,0.08,0.775,0.1,0.851,-0.11,0.774,-0.37,0.764,216188
Mitochondrial 2-oxoglutarate/malate carrier protein  ,sp|Q9CR62|M2OM_MOUSE,Q9CR62,Slc25a11,-0.17,0.535,0.04,0.082,-0.13,0.994,-0.35,0.606,67863
Mitochondrial carrier homolog 2  ,sp|Q791V5|MTCH2_MOUSE,Q791V5,Mtch2,0.15,0.66,-0.22,0.251,-0.13,0.752,-0.48,0.974,56428
Mitochondrial dicarboxylate carrier  ,sp|Q9QZD8|DIC_MOUSE,Q9QZD8,Slc25a10,-0.48,0.458,-0.32,0.236,-0.19,0.286,0,0.623,27376
Mitochondrial fission 1 protein  ,sp|Q9CQ92|FIS1_MOUSE,Q9CQ92,Fis1,-0.07,0.686,-0.33,0.248,0.06,0.398,0.17,0.018,66437
Mitochondrial import inner membrane translocase subunit Tim10  ,sp|P62073|TIM10_MOUSE,P62073,Timm10,0.31,0.41,0.14,0.559,0.06,0.801,-0.24,0.779,30059
Mitochondrial import inner membrane translocase subunit Tim13  ,sp|P62075|TIM13_MOUSE,P62075,Timm13,-0.5,0.066,-0.32,0.109,-0.39,0.075,-0.1,0.232,30055
Mitochondrial import inner membrane translocase subunit TIM44  ,sp|O35857|TIM44_MOUSE,O35857,Timm44,-0.08,0.771,0.33,0.579,-0.01,0.988,0.09,0.23,21856
Mitochondrial import inner membrane translocase subunit TIM50  ,sp|Q9D880|TIM50_MOUSE,Q9D880,Timm50,0.21,0.574,0.32,0.488,-0.01,0.394,-0.68,0.689,66525
Mitochondrial import inner membrane translocase subunit Tim8 A  ,sp|Q9WVA2|TIM8A_MOUSE,Q9WVA2,Timm8a1,-0.14,0.442,-0.35,0.516,-0.56,0.446,-0.75,0.932,30058
Mitochondrial import inner membrane translocase subunit Tim8 B  ,sp|P62077|TIM8B_MOUSE,P62077,Timm8b,-0.27,0.216,-0.08,0.832,-0.04,0.365,0.08,0.131,30057
Mitochondrial import inner membrane translocase subunit Tim9  ,sp|Q9WV98|TIM9_MOUSE,Q9WV98,Timm9,-0.14,0.387,-0.26,0.076,0.08,0.623,0.16,0.102,30056
Mitochondrial import inner membrane translocase subunit Tim9 B  ,sp|Q9WV96|TIM9B_MOUSE,Q9WV96,Timm10b,0,0.994,-0.22,0.821,0.1,0.843,-0.25,0.221,14356
Mitochondrial import receptor subunit TOM22 homolog  ,sp|Q9CPQ3|TOM22_MOUSE,Q9CPQ3,Tomm22,0.05,0.805,-0.37,0.151,-0.25,0.138,-0.2,0.221,223696
Mitochondrial import receptor subunit TOM34  ,sp|Q9CYG7|TOM34_MOUSE,Q9CYG7,Tomm34,0.12,0.534,0.16,0.605,0.14,0.324,0.22,0.279,67145
Mitochondrial import receptor subunit TOM6 homolog  ,sp|Q9CQN3|TOM6_MOUSE,Q9CQN3,Tomm6,-1.14,0.157,-0.67,0.504,-0.11,0.238,0.32,0.273,66119
Mitochondrial-processing peptidase subunit alpha  ,sp|Q9DC61|MPPA_MOUSE,Q9DC61,Pmpca,0.57,0.102,0.03,0.211,0.42,0.089,0.22,0.117,66865
Mitochondrial-processing peptidase subunit beta  ,sp|Q9CXT8|MPPB_MOUSE,Q9CXT8,Pmpcb,-0.34,0.524,-0.36,0.085,0.12,0.738,0.08,0.245,73078
Mitogen-activated protein kinase 1  ,sp|P63085|MK01_MOUSE,P63085,Mapk1,0.12,0.474,-0.05,0.836,-0.1,0.704,-0.1,0.705,26413
Mitogen-activated protein kinase 3  ,sp|Q63844|MK03_MOUSE,Q63844,Mapk3,-0.36,0.138,-0.32,0.24,-0.1,0.319,0.1,0.66,26417
Mitogen-activated protein kinase 8  ,sp|Q91Y86|MK08_MOUSE,Q91Y86,Mapk8,0.3,0.134,0.09,0.625,0.6,0.607,0.92,0.647,26419
Mitogen-activated protein kinase kinase kinase 7  ,sp|Q62073|M3K7_MOUSE,Q62073,Map3k7,0.04,0.793,0.08,0.998,0.04,0.906,0.11,0.942,26409
Mitogen-activated protein kinase kinase kinase kinase 3  ,sp|Q99JP0|M4K3_MOUSE,Q99JP0,Map4k3,-0.11,0.603,0.19,0.749,-0.11,0.331,0.03,0.782,225028
Mitogen-activated protein kinase kinase kinase kinase 4  ,sp|P97820|M4K4_MOUSE,P97820,Map4k4,0.37,0.183,0.2,0.182,0.44,0.193,0.28,0.316,26921
Mitotic checkpoint protein BUB3  ,sp|Q9WVA3|BUB3_MOUSE,Q9WVA3,Bub3,0.01,0.948,0.15,0.969,0.17,0.994,0.27,0.482,12237
Mitotic spindle assembly checkpoint protein MAD1  ,sp|Q9WTX8|MD1L1_MOUSE,Q9WTX8,Mad1l1,0.03,0.905,0.27,0.21,0.04,0.938,0.03,0.441,17120
Mitotic spindle assembly checkpoint protein MAD2A  ,sp|Q9Z1B5|MD2L1_MOUSE,Q9Z1B5,Mad2l1,0.35,0.1,0.09,0.388,0.3,0.2,0.53,0.03,56150
Mitotic spindle-associated MMXD complex subunit MIP18  ,sp|Q9D187|MIP18_MOUSE,Q9D187,Fam96b,0.34,0.094,0.15,0.269,0.08,0.484,0.33,0.283,68523
Mitotic-spindle organizing protein 1  ,sp|Q8BUR9|MZT1_MOUSE,Q8BUR9,Mzt1,-0.02,0.937,-0.1,0.865,0.12,0.944,0.27,0.942,76789
MKL/myocardin-like protein 2  ,sp|P59759|MKL2_MOUSE,P59759,Mkl2,0.34,0.193,0.23,0.66,0.13,0.835,0.22,0.841,239719
MOB kinase activator 1A  ,sp|Q921Y0|MOB1A_MOUSE,Q921Y0,Mob1a,-0.14,0.546,-0.26,0.06,0.04,0.623,0,0.874,232157
MOB kinase activator 2  ,sp|Q8VI63|MOB2_MOUSE,Q8VI63,Mob2,0.03,0.844,-0.09,0.413,0.01,0.493,-0.09,0.658,101513
MOB-like protein phocein  ,sp|Q6PEB6|PHOCN_MOUSE,Q6PEB6,Mob4,0.09,0.744,-0.14,0.707,-0.11,0.557,-0.64,0.409,19070
Moesin  ,sp|P26041|MOES_MOUSE,P26041,Msn,-0.54,0.305,-0.64,0.562,0.59,0.492,0.49,0.535,17698
Molybdenum cofactor sulfurase  ,sp|Q14CH1|MOCOS_MOUSE,Q14CH1,Mocos,-0.73,0.088,0.25,0.729,-0.38,0.327,-1.07,0.503,68591
Monocarboxylate transporter 1  ,sp|P53986|MOT1_MOUSE,P53986,Slc16a1,0.07,0.656,0,0.584,0.08,0.914,0.21,0.551,20501
Monocyte differentiation antigen CD14  ,sp|P10810|CD14_MOUSE,P10810,Cd14,0.02,0.92,0.56,0.046,-0.74,0.048,-0.71,0.639,12475
"Monofunctional C1-tetrahydrofolate synthase, mitochondrial  ",sp|Q3V3R1|C1TM_MOUSE,Q3V3R1,Mthfd1l,-0.45,0.101,-0.64,0.15,0.03,0.204,0.21,0.191,270685
Monoglyceride lipase  ,sp|O35678|MGLL_MOUSE,O35678,Mgll,0.1,0.554,0.37,0.406,0.01,0.826,0,0.844,23945
MORF4 family-associated protein 1  ,sp|Q9CQL7|MOFA1_MOUSE,Q9CQL7,Mrfap1,0.08,0.851,0.07,0.998,-0.95,0.352,-1.81,0.371,67568
Mothers against decapentaplegic homolog 3  ,sp|Q8BUN5|SMAD3_MOUSE,Q8BUN5,Smad3,0.41,0.137,0.14,0.962,-0.14,0.734,-0.34,0.998,17127
Mothers against decapentaplegic homolog 4  ,sp|P97471|SMAD4_MOUSE,P97471,Smad4,-0.12,0.601,0.75,0.021,-0.56,0.209,-0.47,0.925,17128
mRNA cap guanine-N7 methyltransferase  ,sp|Q9D0L8|MCES_MOUSE,Q9D0L8,Rnmt,0.17,0.399,0.19,0.433,-0.1,0.831,-0.06,0.51,67897
mRNA export factor  ,sp|Q8C570|RAE1L_MOUSE,Q8C570,Rae1,0.12,0.645,0.09,0.601,0.13,0.563,-0.02,0.613,66679
mRNA turnover protein 4 homolog  ,sp|Q9D0I8|MRT4_MOUSE,Q9D0I8,Mrto4,0.12,0.457,0.2,0.299,0.08,0.134,-0.15,0.362,69902
mRNA-capping enzyme  ,sp|O55236|MCE1_MOUSE,O55236,Rngtt,0.01,0.947,-0.02,0.85,-0.79,0.027,-0.12,0.178,24018
